team,team_name,year,city,state,stadium,max_capacity,new_stadium
Baltimore,Ravens,2012,Baltimore,Maryland,M&T Bank Stadium,71008,0
Baltimore,Ravens,2013,Baltimore,Maryland,M&T Bank Stadium,71008,0
Baltimore,Ravens,2014,Baltimore,Maryland,M&T Bank Stadium,71008,0
Baltimore,Ravens,2015,Baltimore,Maryland,M&T Bank Stadium,71008,0
Baltimore,Ravens,2016,Baltimore,Maryland,M&T Bank Stadium,71008,0
Baltimore,Ravens,2017,Baltimore,Maryland,M&T Bank Stadium,71008,0
Baltimore,Ravens,2018,Baltimore,Maryland,M&T Bank Stadium,71008,0
Baltimore,Ravens,2019,Baltimore,Maryland,M&T Bank Stadium,71008,0
Washington,Redskins,2000,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2001,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2002,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2003,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2004,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2005,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2006,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2007,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2008,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2009,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2010,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2011,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2012,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2013,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2014,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2015,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2016,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2017,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2018,Landover,Maryland,FedExField,82000,0
Washington,Redskins,2019,Landover,Maryland,FedExField,82000,0
New Orleans,Saints,2000,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2001,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2002,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2003,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2004,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2005,Various,Various,Various,80508,1
New Orleans,Saints,2006,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,1
New Orleans,Saints,2007,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2008,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2009,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2010,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2011,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2012,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2013,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2014,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2015,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2016,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2017,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2018,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
New Orleans,Saints,2019,New Orleans,Louisiana,Mercedes-Benz Superdome,76468,0
Seattle,Seahawks,2000,Seattle,Washington,Husky Stadium,72500,1
Seattle,Seahawks,2001,Seattle,Washington,Husky Stadium,72500,0
Seattle,Seahawks,2002,Seattle,Washington,CenturyLink Field,68000,1
Seattle,Seahawks,2003,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2004,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2005,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2006,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2007,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2008,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2009,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2010,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2011,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2012,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2013,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2014,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2015,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2016,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2017,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2018,Seattle,Washington,CenturyLink Field,68000,0
Seattle,Seahawks,2019,Seattle,Washington,CenturyLink Field,68000,0
Pittsburgh,Steelers,2000,Pittsburgh,Pennsylvania,Three Rivers Stadium,59000,0
Pittsburgh,Steelers,2001,Pittsburgh,Pennsylvania,Heinz Field,68400,1
Pittsburgh,Steelers,2002,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2003,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2004,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2005,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2006,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2007,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2008,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2009,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2010,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2011,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2012,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2013,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2014,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2015,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2016,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2017,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2018,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Pittsburgh,Steelers,2019,Pittsburgh,Pennsylvania,Heinz Field,68400,0
Houston,Texans,2002,Houston,Texas,Reliant Stadium,71500,1
Houston,Texans,2003,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2004,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2005,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2006,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2007,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2008,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2009,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2010,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2011,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2012,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2013,Houston,Texas,Reliant Stadium,71500,0
Houston,Texans,2014,Houston,Texas,NRG Stadium,71500,0
Houston,Texans,2015,Houston,Texas,NRG Stadium,71500,0
Houston,Texans,2016,Houston,Texas,NRG Stadium,71500,0
Houston,Texans,2017,Houston,Texas,NRG Stadium,71500,0
Houston,Texans,2018,Houston,Texas,NRG Stadium,71500,0
Houston,Texans,2019,Houston,Texas,NRG Stadium,71500,0
Tennessee,Titans,2000,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2001,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2002,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2003,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2004,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2005,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2006,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2007,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2008,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2009,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2010,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2011,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2012,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2013,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2014,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2015,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2016,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2017,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2018,Nashville,Tennessee,Nissan Stadium,67000,0
Tennessee,Titans,2019,Nashville,Tennessee,Nissan Stadium,67000,0
Minnesota,Vikings,2000,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2001,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2002,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2003,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2004,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2005,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2006,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2007,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2008,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2009,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2010,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2011,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2012,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2013,Minneapolis,Minnesota,Hubrt H. Humphrey Metrodome,64035,0
Minnesota,Vikings,2014,Minneapolis,Minnesota,TCF Bank Stadium,50805,1
Minnesota,Vikings,2015,Minneapolis,Minnesota,TCF Bank Stadium,50805,0
Minnesota,Vikings,2016,Minneapolis,Minnesota,U.S. Bank Stadium,65400,1
Minnesota,Vikings,2017,Minneapolis,Minnesota,U.S. Bank Stadium,65400,0
Minnesota,Vikings,2018,Minneapolis,Minnesota,U.S. Bank Stadium,65400,0
Minnesota,Vikings,2019,Minneapolis,Minnesota,U.S. Bank Stadium,65400,0
